# refseq	assembly	genbank	ncbi	ucsc
NC_049535.1	SUPER_1	CM023680.1	1	chr1
NC_049536.1	SUPER_2	CM023681.1	2	chr2
NC_049537.1	SUPER_3	CM023682.1	3	chr3
NC_049538.1	SUPER_4	CM023683.1	4	chr4
NC_049539.1	SUPER_5	CM023684.1	5	chr5
NC_049540.1	SUPER_6	CM023685.1	6	chr6
NC_049541.1	SUPER_7	CM023686.1	7	chr7
NC_049542.1	SUPER_8	CM023687.1	8	chr8
NC_049543.1	SUPER_9	CM023688.1	9	chr9
NC_049544.1	SUPER_10	CM023689.1	10	chr10
NC_049545.1	SUPER_11	CM023690.1	11	chr11
NC_049546.1	SUPER_12	CM023691.1	12	chr12
NC_049547.1	SUPER_13	CM023692.1	13	chr13
NC_049548.1	SUPER_14	CM023693.1	14	chr14
NC_049549.1	SUPER_15	CM023694.1	15	chr15
NC_049550.1	SUPER_16	CM023695.1	16	chr16
NC_049551.1	SUPER_17	CM023696.1	17	chr17
NC_049552.1	SUPER_18	CM023697.1	18	chr18
NC_049553.1	SUPER_19	CM023698.1	19	chr19
NC_049554.1	SUPER_20	CM023699.1	20	chr20
NC_049555.1	SUPER_21	CM023700.1	21	chr21
NC_049556.1	SUPER_22	CM023701.1	22	chr22
NC_049557.1	SUPER_23	CM023702.1	23	chr23
NC_049558.1	SUPER_24	CM023703.1	24	chr24
NC_049559.1	SUPER_25	CM023704.1	25	chr25
NC_049560.1	SUPER_26	CM023705.1	26	chr26
NW_023336124.1	SUPER_5_unloc_1	JABVME010000011.1		chr5_NW_023336124v1_random
NW_023336125.1	SUPER_5_unloc_10	JABVME010000019.1		chr5_NW_023336125v1_random
NW_023336126.1	SUPER_5_unloc_2	JABVME010000012.1		chr5_NW_023336126v1_random
NW_023336127.1	SUPER_5_unloc_3	JABVME010000013.1		chr5_NW_023336127v1_random
NW_023336128.1	SUPER_5_unloc_4	JABVME010000010.1		chr5_NW_023336128v1_random
NW_023336129.1	SUPER_5_unloc_5	JABVME010000014.1		chr5_NW_023336129v1_random
NW_023336130.1	SUPER_5_unloc_6	JABVME010000015.1		chr5_NW_023336130v1_random
NW_023336131.1	SUPER_5_unloc_7	JABVME010000016.1		chr5_NW_023336131v1_random
NW_023336132.1	SUPER_5_unloc_8	JABVME010000017.1		chr5_NW_023336132v1_random
NW_023336133.1	SUPER_5_unloc_9	JABVME010000018.1		chr5_NW_023336133v1_random
NW_023336134.1	S50	JABVME010000036.1		chrUn_NW_023336134v1
NW_023336135.1	S51	JABVME010000037.1		chrUn_NW_023336135v1
NW_023336136.1	S54	JABVME010000039.1		chrUn_NW_023336136v1
NW_023336137.1	S56	JABVME010000040.1		chrUn_NW_023336137v1
NW_023336138.1	S57	JABVME010000041.1		chrUn_NW_023336138v1
NW_023336139.1	S58	JABVME010000042.1		chrUn_NW_023336139v1
NW_023336140.1	S59	JABVME010000043.1		chrUn_NW_023336140v1
NW_023336141.1	scaffold_100_arrow_ctg1	JABVME010000045.1		chrUn_NW_023336141v1
NW_023336142.1	scaffold_101_arrow_ctg1	JABVME010000046.1		chrUn_NW_023336142v1
NW_023336143.1	scaffold_102_arrow_ctg1	JABVME010000047.1		chrUn_NW_023336143v1
NW_023336144.1	scaffold_103_arrow_ctg1	JABVME010000048.1		chrUn_NW_023336144v1
NW_023336145.1	scaffold_104_arrow_ctg1	JABVME010000049.1		chrUn_NW_023336145v1
NW_023336146.1	scaffold_105_arrow_ctg1	JABVME010000050.1		chrUn_NW_023336146v1
NW_023336147.1	scaffold_106_arrow_ctg1	JABVME010000051.1		chrUn_NW_023336147v1
NW_023336148.1	scaffold_107_arrow_ctg1	JABVME010000052.1		chrUn_NW_023336148v1
NW_023336149.1	scaffold_108_arrow_ctg1	JABVME010000053.1		chrUn_NW_023336149v1
NW_023336150.1	scaffold_110_arrow_ctg1	JABVME010000054.1		chrUn_NW_023336150v1
NW_023336151.1	scaffold_111_arrow_ctg1	JABVME010000055.1		chrUn_NW_023336151v1
NW_023336152.1	scaffold_112_arrow_ctg1	JABVME010000056.1		chrUn_NW_023336152v1
NW_023336153.1	scaffold_113_arrow_ctg1	JABVME010000057.1		chrUn_NW_023336153v1
NW_023336154.1	scaffold_114_arrow_ctg1	JABVME010000058.1		chrUn_NW_023336154v1
NW_023336155.1	scaffold_116_arrow_ctg1	JABVME010000059.1		chrUn_NW_023336155v1
NW_023336156.1	scaffold_117_arrow_ctg1	JABVME010000060.1		chrUn_NW_023336156v1
NW_023336157.1	scaffold_119_arrow_ctg1	JABVME010000061.1		chrUn_NW_023336157v1
NW_023336158.1	scaffold_120_arrow_ctg1	JABVME010000062.1		chrUn_NW_023336158v1
NW_023336159.1	scaffold_121_arrow_ctg1	JABVME010000063.1		chrUn_NW_023336159v1
NW_023336160.1	scaffold_122_arrow_ctg1	JABVME010000064.1		chrUn_NW_023336160v1
NW_023336161.1	scaffold_123_arrow_ctg1	JABVME010000065.1		chrUn_NW_023336161v1
NW_023336162.1	scaffold_124_arrow_ctg1	JABVME010000066.1		chrUn_NW_023336162v1
NW_023336163.1	scaffold_125_arrow_ctg1	JABVME010000067.1		chrUn_NW_023336163v1
NW_023336164.1	scaffold_126_arrow_ctg1	JABVME010000068.1		chrUn_NW_023336164v1
NW_023336165.1	scaffold_127_arrow_ctg1	JABVME010000069.1		chrUn_NW_023336165v1
NW_023336166.1	scaffold_128_arrow_ctg1	JABVME010000070.1		chrUn_NW_023336166v1
NW_023336167.1	scaffold_15_arrow_ctg1	JABVME010000044.1		chrUn_NW_023336167v1
NW_023336168.1	scaffold_57_arrow_ctg1	JABVME010000071.1		chrUn_NW_023336168v1
NW_023336169.1	scaffold_58_arrow_ctg1	JABVME010000072.1		chrUn_NW_023336169v1
NW_023336170.1	scaffold_63_arrow_ctg1	JABVME010000073.1		chrUn_NW_023336170v1
NW_023336171.1	scaffold_64_arrow_ctg1	JABVME010000074.1		chrUn_NW_023336171v1
NW_023336172.1	scaffold_67_arrow_ctg1	JABVME010000075.1		chrUn_NW_023336172v1
NW_023336173.1	scaffold_71_arrow_ctg1	JABVME010000076.1		chrUn_NW_023336173v1
NW_023336174.1	scaffold_72_arrow_ctg1	JABVME010000077.1		chrUn_NW_023336174v1
NW_023336175.1	scaffold_73_arrow_ctg1	JABVME010000078.1		chrUn_NW_023336175v1
NW_023336176.1	scaffold_74_arrow_ctg1	JABVME010000079.1		chrUn_NW_023336176v1
NW_023336177.1	scaffold_77_arrow_ctg1	JABVME010000080.1		chrUn_NW_023336177v1
NW_023336178.1	scaffold_78_arrow_ctg1	JABVME010000081.1		chrUn_NW_023336178v1
NW_023336179.1	scaffold_80_arrow_ctg1	JABVME010000082.1		chrUn_NW_023336179v1
NW_023336180.1	scaffold_86_arrow_ctg1	JABVME010000083.1		chrUn_NW_023336180v1
NW_023336181.1	scaffold_88_arrow_ctg1	JABVME010000084.1		chrUn_NW_023336181v1
NW_023336182.1	scaffold_90_arrow_ctg1	JABVME010000085.1		chrUn_NW_023336182v1
